2018-07-27 15:40:11,499 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
2018-07-27 15:40:11,505 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-07-27 15:40:11,856 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
2018-07-27 15:40:12,092 | INFO | DefaultCamelContext.java 3470 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-07-27 15:40:12,102 | INFO | FileEndpoint.java 102 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-07-27 15:40:12,102 | INFO | FileEndpoint.java 108 | Using default memory based idempotent repository with cache max size: 1000
2018-07-27 15:40:12,202 | INFO | DefaultCamelContext.java 4030 | Route: route1 started and consuming from: file://data/input?noop=true
2018-07-27 15:40:12,203 | INFO | DefaultCamelContext.java 3191 | Total 1 routes, of which 1 are started
2018-07-27 15:40:12,206 | INFO | DefaultCamelContext.java 3202 | Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.712 seconds
2018-07-27 15:40:17,207 | INFO | DefaultCamelContext.java 3501 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
2018-07-27 15:40:17,208 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-07-27 15:40:17,216 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-07-27 15:40:17,216 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-07-27 15:40:17,248 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.757 seconds
2018-07-27 15:40:17,248 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.041 seconds
2018-07-30 15:40:00,927 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
2018-07-30 15:40:00,933 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-07-30 15:40:01,334 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
